[07/Apr/2025:04:10:03 +0000] | GET | /api/logos/Cincon_logo.png | Status: 200 | Size: 557 bytes | ⏳ Time: 0.989 ms
[07/Apr/2025:04:10:03 +0000] | GET | /api/logos/Cisco_logo.png | Status: 200 | Size: 201 bytes | ⏳ Time: 4.001 ms
[07/Apr/2025:04:10:03 +0000] | GET | /api/logos/Com_Group_logo.png | Status: 200 | Size: 2323 bytes | ⏳ Time: 5.231 ms
[07/Apr/2025:04:10:03 +0000] | GET | /api/logos/Compaq_logo.png | Status: 200 | Size: 1353 bytes | ⏳ Time: 4.606 ms
[07/Apr/2025:04:10:03 +0000] | GET | /api/logos/acc_logo.png | Status: 200 | Size: 244 bytes | ⏳ Time: 1.064 ms
[07/Apr/2025:04:10:03 +0000] | GET | /api/logos/apc_logo.png | Status: 200 | Size: 674 bytes | ⏳ Time: 0.936 ms
[07/Apr/2025:04:10:03 +0000] | GET | /api/logos/areca_logo.png | Status: 200 | Size: 2112 bytes | ⏳ Time: 3.643 ms
[07/Apr/2025:04:10:03 +0000] | GET | /api/logos/asus_logo.png | Status: 200 | Size: 1164 bytes | ⏳ Time: 4.771 ms
[07/Apr/2025:04:10:03 +0000] | GET | /api/logos/bel_line_logo.png | Status: 200 | Size: 1996 bytes | ⏳ Time: 4.551 ms
[07/Apr/2025:04:10:03 +0000] | GET | /api/logos/chaparral_logo.png | Status: 200 | Size: 1174 bytes | ⏳ Time: 3.928 ms
[07/04/2025, 8:01:12] | "POST" | /api/users/upload | Status: 400 | Size: 51 bytes | ⏳ Time: 154 ms
[07/04/2025, 8:01:31] | "POST" | /api/users/upload | Status: 400 | Size: 51 bytes | ⏳ Time: 155 ms
[07/04/2025, 8:03:45] | "POST" | /api/users/upload | Status: 400 | Size: 138 bytes | ⏳ Time: 163 ms
[07/04/2025, 8:07:23] | "POST" | /api/users/upload | Status: 400 | Size: 139 bytes | ⏳ Time: 853 ms
[07/04/2025, 8:07:36] | "POST" | /api/users/upload | Status: 400 | Size: 139 bytes | ⏳ Time: 808 ms
[07/04/2025, 8:10:04] | "GET" | /api/users | Status: 404 | Size: 12 bytes | ⏳ Time: 147 ms
[07/04/2025, 8:10:12] | "GET" | /api/users | Status: 404 | Size: 12 bytes | ⏳ Time: 149 ms
[07/04/2025, 8:11:11] | "GET" | /api/users | Status: 404 | Size: 12 bytes | ⏳ Time: 162 ms
[07/04/2025, 8:12:09] | "POST" | /api/users/login | Status: 400 | Size: 31 bytes | ⏳ Time: 354 ms
[07/04/2025, 8:12:27] | "POST" | /api/users/login | Status: 400 | Size: 31 bytes | ⏳ Time: 346 ms
[07/04/2025, 8:14:06] | "POST" | /api/users/login | Status: 400 | Size: 31 bytes | ⏳ Time: 381 ms
[07/04/2025, 8:15:15] | "POST" | /api/users/upload | Status: 400 | Size: 138 bytes | ⏳ Time: 150 ms
[07/04/2025, 8:16:14] | "POST" | /api/users/upload | Status: 400 | Size: 138 bytes | ⏳ Time: 928 ms
[07/04/2025, 8:16:51] | "GET" | /api/users/67d7acd53e8c91a1d4ead9a6 | Status: 404 | Size: 12 bytes | ⏳ Time: 1116 ms
[07/04/2025, 8:18:49] | "POST" | /api/users/login | Status: 400 | Size: 31 bytes | ⏳ Time: 378 ms
[07/04/2025, 8:19:45] | "POST" | /api/users/login | Status: 400 | Size: 31 bytes | ⏳ Time: 345 ms
[07/04/2025, 9:09:57] | "PATCH" | /api/stocks/67f13f43c9d7cd9bc74d9941 | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[07/04/2025, 9:10:04] | "PATCH" | /api/stocks/67f13f43c9d7cd9bc74d9941 | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[07/04/2025, 9:11:28] | "PATCH" | /api/stocks/67f13f43c9d7cd9bc74d9941 | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[07/04/2025, 9:13:05] | "PATCH" | /api/stocks/67f13f43c9d7cd9bc74d9941 | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[07/04/2025, 13:56:56] | "POST" | /api/users/login | Status: 400 | Size: 52 bytes | ⏳ Time: 2 ms
[07/04/2025, 14:09:16] | "POST" | /api/admin/backup | Status: 500 | Size: 76 bytes | ⏳ Time: 217 ms
[07/04/2025, 14:09:20] | "POST" | /api/admin/backup | Status: 500 | Size: 76 bytes | ⏳ Time: 154 ms
[07/04/2025, 14:09:25] | "POST" | /api/admin/backup | Status: 500 | Size: 76 bytes | ⏳ Time: 156 ms
[07/04/2025, 14:14:38] | "POST" | /api/admin/backup | Status: 500 | Size: 101 bytes | ⏳ Time: 28 ms
[07/04/2025, 14:25:28] | "GET" | /api/admin/backups | Status: 500 | Size: 81 bytes | ⏳ Time: 4 ms
[07/04/2025, 14:27:05] | "GET" | /api/admin/backups | Status: 500 | Size: 81 bytes | ⏳ Time: 31 ms
[07/04/2025, 14:29:59] | "GET" | /api/admin/backups | Status: 500 | Size: 81 bytes | ⏳ Time: 29 ms
[07/04/2025, 14:37:39] | "POST" | /api/admin/restore | Status: 500 | Size: 139 bytes | ⏳ Time: 27 ms
[07/04/2025, 14:48:17] | "PATCH" | /api/favorites/67f13f43c9d7cd9bc74d9941 | Status: 404 | Size: 15 bytes | ⏳ Time: 165 ms
[07/04/2025, 14:49:29] | "GET" | /api/users/67d7acd53e8c91a1d4ead9a6 | Status: 404 | Size: 12 bytes | ⏳ Time: 150 ms
[07/04/2025, 14:52:52] | "PATCH" | /api/favorites/67f13f43c9d7cd9bc74d9941 | Status: 404 | Size: 15 bytes | ⏳ Time: 159 ms
[07/04/2025, 14:54:07] | "GET" | /api/favorites | Status: 400 | Size: 69 bytes | ⏳ Time: 22 ms
[07/04/2025, 14:55:34] | "PATCH" | /api/favorites/67f13f43c9d7cd9bc74d9941 | Status: 404 | Size: 15 bytes | ⏳ Time: 151 ms
[07/04/2025, 14:57:26] | "PATCH" | /api/favorites/67f13f43c9d7cd9bc74d9941 | Status: 404 | Size: 15 bytes | ⏳ Time: 157 ms
[07/04/2025, 14:57:35] | "PATCH" | /api/favorites/67f13f43c9d7cd9bc74d9953 | Status: 404 | Size: 15 bytes | ⏳ Time: 151 ms
